,V1
S333,uterine hemorrhage
S334,uterine neoplasms
S335,vaginal diseases
S336,vascular malformations
S337,vasospasm, intracranial
S338,venous thromboembolism
S339,venous thrombosis
S340,ventricular dysfunction
S341,ventricular dysfunction, left
S342,ventricular fibrillation
S343,vestibular diseases
S344,vision disorders
S345,vomiting
S346,wasting syndrome
S347,weight gain
S348,xanthomatosis
S349,abortion, spontaneous
S350,bone neoplasms
S351,brain infarction
S352,congenital diaphragmatic hernia
S353,eosinophilia
S354,exanthema
S355,fanconi syndrome
S356,fibromatosis, aggressive
S357,gastrointestinal neoplasms
S358,gastrointestinal stromal tumors
S359,glioma
S360,glomerulonephritis
S361,hearing loss, sensorineural
S362,hepatitis
S363,hepatitis, autoimmune
S364,hypophosphatemia
S365,leukemia, experimental
S366,leukemia, myelogenous, chronic, bcr-abl positive
S367,leukemia, myeloid
S368,lichenoid eruptions
S369,liver cirrhosis
S370,liver failure, acute
S371,muscle cramp
S372,muscular dystrophy, animal
S373,neoplasms, hormone-dependent
S374,neuroectodermal tumors, primitive, peripheral
S375,osteolysis
S376,osteopetrosis
S377,peripheral nervous system diseases
S378,precursor cell lymphoblastic leukemia-lymphoma
S379,purpura
S380,renal insufficiency
S381,small cell lung carcinoma
S382,stomach neoplasms
S383,thrombocythemia, essential
S384,thyroid neoplasms
S385,vasculitis
S386,aberrant crypt foci
S387,angina pectoris
S388,anoxia
S389,antisocial personality disorder
S390,aortic aneurysm
S391,burns
S392,cerebrovascular disorders
S393,child development disorders, pervasive
S394,colonic neoplasms
S395,coronary disease
S396,cryptorchidism
S397,depressive disorder, major
S398,diabetes mellitus, experimental
S399,diabetic angiopathies
S400,diabetic neuropathies
S401,dyskinesia, drug-induced
S402,dysthymic disorder
S403,dystocia
S404,epilepsies, myoclonic
S405,erectile dysfunction
S406,fetal nutrition disorders
S407,firesetting behavior
S408,glioblastoma
S409,glomerulosclerosis, focal segmental
S410,hiv wasting syndrome
S411,hyperandrogenism
S412,hypercholesterolemia
S413,hyperinsulinism
S414,hyperphagia
S415,hypoglycemia
S416,hypogonadism
S417,hypopituitarism
S418,hypotension
S419,impulse control disorders
S420,klinefelter syndrome
S421,leydig cell tumor
S422,lithiasis
S423,lymphoma, non-hodgkin
S424,malaria
S425,melanoma, experimental
S426,mental disorders
S427,metabolic syndrome x
S428,muscular atrophy
S429,nephritis, interstitial
S430,non-alcoholic fatty liver disease
S431,obesity
S432,plaque, atherosclerotic
S433,polycythemia
S434,reperfusion injury
S435,salivary gland neoplasms
S436,sebaceous gland neoplasms
S437,sexual dysfunction, physiological
S438,sexual dysfunctions, psychological
S439,shock, hemorrhagic
S440,shock, traumatic
S441,sleep apnea, obstructive
S442,splenic diseases
S443,stomach diseases
S444,varicocele
S445,vascular calcification
S446,virilism
S447,voice disorders
S448,abdomen, acute
S449,abdominal pain
S450,abruptio placentae
S451,accelerated idioventricular rhythm
S452,acid-base imbalance
S453,acidosis
S454,acute coronary syndrome
S455,agoraphobia
S456,agranulocytosis
S457,aids dementia complex
S458,akathisia, drug-induced
S459,alveolitis, extrinsic allergic
S460,anaphylaxis
S461,aneurysm
S462,aneurysm, dissecting
S463,aneurysm, ruptured
S464,angina, unstable
S465,anisocoria
S466,anterior spinal artery syndrome
S467,anterior wall myocardial infarction
S468,anti-glomerular basement membrane disease
S469,anuria
S470,aortic diseases
S471,aortic rupture
S472,aphasia
S473,apnea
S474,arthralgia
S475,arthritis
S476,asthma
S477,athetosis
S478,atresia of small intestine
S479,atrial fibrillation
S480,atrial flutter
S481,atrioventricular block
S482,auditory perceptual disorders
S483,autonomic nervous system diseases
S484,basal ganglia cerebrovascular disease
S485,basal ganglia diseases
S486,basal ganglia hemorrhage
S487,bipolar disorder
S488,blindness
S489,blood platelet disorders
S490,botulism
S491,bradycardia
S492,brain damage, chronic
S493,brain stem infarctions
S494,bronchial diseases
S495,bronchial spasm
S496,bronchiolitis obliterans
S497,brown-sequard syndrome
S498,bundle-branch block
S499,cardiac complexes, premature
S500,cardiomyopathy, dilated
S501,carotid artery, internal, dissection
S502,catatonia
S503,cellulitis
S504,central nervous system cysts
S505,central nervous system diseases
S506,cerebellar diseases
S507,chest pain
S508,chills
S509,chorea
S510,churg-strauss syndrome
S511,cluster headache
S512,colitis, ischemic
S513,colonic diseases
S514,color vision defects
S515,coma
S516,compartment syndromes
S517,confusion
S518,constriction, pathologic
S519,coronary aneurysm
S520,coronary stenosis
S521,coronary thrombosis
S522,coronary vasospasm
S523,cough
S524,cranial nerve diseases
S525,cryoglobulinemia
S526,death, sudden
S527,death, sudden, cardiac
S528,deglutition disorders
S529,delirium
S530,demyelinating diseases
S531,developmental disabilities
S532,diabetes insipidus
S533,disorders of excessive somnolence
S534,drug eruptions
S535,dyspnea
S536,dystonia
S537,emphysema
S538,encephalomalacia
S539,encephalomyelitis, acute disseminated
S540,endarteritis
S541,endocarditis
S542,endophthalmitis
S543,enteritis
S544,enterocolitis
S545,epilepsy, tonic-clonic
S546,epistaxis
S547,exophthalmos
S548,eye hemorrhage
S549,eyelid diseases
S550,facial injuries
S551,facial pain
S552,fetal distress
S553,fetal membranes, premature rupture
S554,fever
S555,fibromuscular dysplasia
S556,finger injuries
S557,fistula
S558,flank pain
S559,gastroenteritis
S560,gastrointestinal hemorrhage
S561,gastroschisis
S562,gingival diseases
S563,gingival recession
S564,granuloma
S565,granuloma, foreign-body
S566,granuloma, lethal midline
S567,hallucinations
S568,hearing loss
S569,hearing loss, bilateral
S570,hearing loss, sudden
S571,heart arrest
S572,heart rupture, post-infarction
S573,heart septal defects, atrial
S574,heart valve diseases
S575,heat stroke
S576,helicobacter infections
S577,hematoma
S578,hematoma, epidural, spinal
S579,hematoma, subdural
S580,hematoma, subdural, acute
S581,hemolytic-uremic syndrome
S582,hemoperitoneum
S583,hepatic encephalopathy
S584,heroin dependence
S585,hiv infections
S586,hydranencephaly
S587,hyperammonemia
S588,hypercalcemia
S589,hyperkalemia
S590,hypertension, pulmonary
S591,hypertensive encephalopathy
S592,hypesthesia
S593,hyphema
S594,hypokalemia
S595,hypokalemic periodic paralysis
S596,hypothermia
S597,hypothyroidism
S598,hypoxia, brain
S599,hypoxia-ischemia, brain
S600,iliac aneurysm
S601,infant, premature, diseases
S602,infarction
S603,infarction, posterior cerebral artery
S604,infection
S605,intestinal obstruction
S606,intracranial arterial diseases
S607,intracranial thrombosis
S608,intraoperative complications
S609,intussusception
S610,ischemia
S611,ischemic attack, transient
S612,jaundice
S613,keratitis
S614,kidney failure, chronic
S615,kidney tubular necrosis, acute
S616,kleeblattschaedel syndrome
S617,labyrinth diseases
S618,lacrimal duct obstruction
S619,language development disorders
S620,laryngeal diseases
S621,laryngeal edema
S622,lateral medullary syndrome
S623,lethargy
S624,leukocytosis
S625,leukoencephalopathies
S626,leukoencephalopathy, progressive multifocal
S627,limb deformities, congenital
S628,lip diseases
S629,liver failure
S630,long qt syndrome
S631,low back pain
S632,lung diseases, interstitial
S633,magnesium deficiency
S634,meconium aspiration syndrome
S635,mediastinal emphysema
S636,meningitis
S637,mental disorders diagnosed in childhood
S638,mesenteric vascular disease
S639,mesenteric vascular occlusion
S640,migraine disorders
S641,mitral valve insufficiency
S642,mobius syndrome
S643,mononeuropathies
S644,motor skills disorders
S645,mouth abnormalities
S646,mouth diseases
S647,moyamoya disease
S648,multiple organ failure
S649,muscle hypertonia
S650,muscle rigidity
S651,muscle spasticity
S652,muscle weakness
S653,mutism
S654,myasthenia gravis
S655,mydriasis
S656,myocardial stunning
S657,nasal obstruction
S658,neonatal abstinence syndrome
S659,neoplasms, fibrous tissue
S660,neurobehavioral manifestations
S661,neuroleptic malignant syndrome
S662,neuromuscular diseases
S663,neutropenia
S664,nose deformities, acquired
S665,nose diseases
S666,nose neoplasms
S667,obsessive-compulsive disorder
S668,obstetric labor, premature
S669,ocular motility disorders
S670,ophthalmoplegia
S671,optic nerve diseases
S672,oral fistula
S673,orbital cellulitis
S674,orbital diseases
S675,osteomyelitis
S676,osteonecrosis
S677,pancreatitis
S678,panniculitis
S679,papilledema
S680,paranasal sinus diseases
S681,paranoid disorders
S682,paresis
S683,paresthesia
S684,peptic ulcer perforation
S685,periodontal diseases
S686,peripheral vascular diseases
S687,peritonitis
S688,personality disorders
S689,photosensitivity disorders
S690,placenta accreta
S691,pneumopericardium
S692,pneumothorax
S693,poland syndrome
S694,postoperative complications
S695,pregnancy complications
S696,pregnancy complications, cardiovascular
S697,pregnancy complications, hematologic
S698,priapism
S699,psychomotor agitation
S700,psychomotor disorders
S701,psychoses, substance-induced
S702,puerperal disorders
S703,pulmonary arterial hypertension
S704,pulmonary edema
S705,pulmonary emphysema
S706,pulmonary infarction
S707,pupil disorders
S708,purpura, schoenlein-henoch
S709,purpura, thrombotic thrombocytopenic
S710,putaminal hemorrhage
S711,pyoderma gangrenosum
S712,quadriplegia
S713,raynaud disease
S714,reactive attachment disorder
S715,reflex sympathetic dystrophy
S716,renal artery obstruction
S717,respiration disorders
S718,respiratory distress syndrome, newborn
S719,respiratory insufficiency
S720,respiratory tract fistula
S721,retinal artery occlusion
S722,retinal diseases
S723,retroperitoneal fibrosis
S724,rhabdomyolysis
S725,rhinitis
S726,schizophrenia
S727,scleroderma, systemic
S728,scotoma
S729,self mutilation
S730,sensation disorders
S731,shock
S732,shock, cardiogenic
S733,sialometaplasia, necrotizing
S734,sialorrhea
S735,sinoatrial block
S736,sinus arrest, cardiac
S737,sinusitis
S738,skin diseases, vascular
S739,sleep deprivation
S740,sleep disorders
S741,spasm
S742,speech disorders
S743,spinal cord ischemia
S744,splenic infarction
S745,stereotypic movement disorder
S746,stomach ulcer
S747,stomatognathic diseases
S748,strabismus
S749,subarachnoid hemorrhage
S750,subcutaneous emphysema
S751,sudden infant death
S752,syncope
S753,syphilis, congenital
S754,systemic vasculitis
S755,tachycardia, sinus
S756,tachycardia, supraventricular
S757,takotsubo cardiomyopathy
S758,temporomandibular joint disorders
S759,temporomandibular joint dysfunction syndrome
S760,thrombocytopenia
S761,thrombocytosis
S762,tic disorders
S763,tooth erosion
S764,torticollis
S765,tremor
S766,trichotillomania
S767,ulcer
S768,unconsciousness
S769,upper extremity deformities, congenital
S770,urinary incontinence
S771,uterine rupture
S772,vascular diseases
S773,vascular headaches
S774,vasculitis, central nervous system
S775,venous insufficiency
S776,vertebrobasilar insufficiency
S777,wegener granulomatosis
S778,xerostomia
S779,cerebral palsy
S780,dementia
S781,mercury poisoning, nervous system
S782,nephrosis
S783,neurologic manifestations
S784,trauma, nervous system
S785,adenocarcinoma of lung
S786,adenocarcinoma, papillary
S787,adenoma
S788,adenoma, bile duct
S789,ageusia
S790,agricultural workers&apos; diseases
S791,alcohol withdrawal delirium
S792,alzheimer disease
S793,amblyopia
S794,anemia, aplastic
S795,anemia, hemolytic, autoimmune
S796,anemia, megaloblastic
S797,anemia, sickle cell
S798,anemia, sideroblastic
S799,anencephaly
S800,anus neoplasms
S801,aortic aneurysm, abdominal
S802,arthritis, psoriatic
S803,astrocytoma
S804,brain neoplasms
S805,carcinoma, renal cell
S806,carcinoma, squamous cell
S807,cataract
S808,central nervous system neoplasms
S809,cerebellar ataxia
S810,chromosome breakage
S811,colorectal neoplasms
S812,corneal opacity
S813,coronary restenosis
S814,diabetes mellitus
S815,ectodermal dysplasia
S816,endometrial hyperplasia
S817,esophageal achalasia
S818,esophageal neoplasms
S819,exfoliation syndrome
S820,fatty liver, alcoholic
S821,fibrosarcoma
S822,flushing
S823,gastritis
S824,gastrointestinal diseases
S825,genital neoplasms, male
S826,genomic instability
S827,glaucoma
S828,glycosylphosphatidylinositol deficiency
S829,hemangioma
S830,hematologic diseases
S831,hepatoblastoma
S832,histiocytoma, malignant fibrous
S833,hiv seropositivity
S834,hydrocephalus
S835,hyperhomocysteinemia
S836,laryngeal neoplasms
S837,leukemia
S838,leukemia, myeloid, acute
S839,leukemic infiltration
S840,lice infestations
S841,lower extremity deformities, congenital
S842,lymphoma, b-cell
S843,lymphoma, t-cell
S844,lymphoproliferative disorders
S845,malaria, falciparum
S846,maxillofacial abnormalities
S847,meningioma
S848,microsatellite instability
S849,mouth neoplasms
S850,mucositis
S851,multiple chemical sensitivity
S852,muscular diseases
S853,nasopharyngeal neoplasms
S854,neurilemmoma
S855,neurodegenerative diseases
S856,occupational diseases
S857,oligodendroglioma
S858,osteomalacia
S859,osteoporosis
S860,papilloma
S861,pharyngeal neoplasms
S862,polyneuropathies
S863,psoriasis
S864,psychophysiologic disorders
S865,retinal degeneration
S866,retinoblastoma
S867,scabies
S868,spinal cord diseases
S869,spinal dysraphism
S870,sprue, tropical
S871,thymus neoplasms
S872,tongue neoplasms
S873,toxoplasmosis
S874,uremia
S875,wilms tumor
S876,abdominal neoplasms
S877,acidosis, lactic
S878,acidosis, respiratory
S879,acrodynia
S880,acute disease
S881,acute lung injury
S882,adenoma, islet cell
S883,adrenal gland neoplasms
S884,alcohol-related disorders
S885,alkalosis
S886,amnesia, retrograde
S887,anisometropia
S888,apraxias
S889,arnold-chiari malformation
S890,arteritis
S891,ascites
S892,astigmatism
S893,ataxia telangiectasia
S894,back pain
S895,blindness, cortical
S896,bone diseases, metabolic
S897,brain diseases, metabolic
S898,breast neoplasms, male
S899,camptocormia
S900,carcinoma, ductal, breast
S901,carcinoma, non-small-cell lung
S902,carcinoma, pancreatic ductal
S903,carcinoma, transitional cell
S904,cardiovirus infections
S905,cartilage diseases
S906,cecal diseases
S907,cholecystitis
S908,cholelithiasis
S909,choroid diseases
S910,conduct disorder
S911,consciousness disorders
S912,corneal diseases
S913,craniosynostoses
S914,cystic fibrosis
S915,dandy-walker syndrome
S916,dermatitis
S917,dermatitis, allergic contact
S918,dermatitis, atopic
S919,dermatitis, irritant
S920,dermatofibrosarcoma
S921,dermatomyositis
S922,diabetes complications
S923,diabetic cardiomyopathies
S924,diabetic ketoacidosis
S925,diabetic retinopathy
S926,double outlet right ventricle
S927,drug overdose
S928,dysarthria
S929,dyskinesias
S930,dyspareunia
S931,dysphonia
S932,ear diseases
S933,embolism
S934,embolism, fat
S935,endocardial cushion defects
S936,endocrine system diseases
S937,enuresis
S938,epidermal necrolysis, toxic
S939,epilepsies, partial
S940,epilepsy, complex partial
S941,epilepsy, generalized
S942,epilepsy, reflex
S943,epilepsy, rolandic
S944,epilepsy, temporal lobe
S945,erythema multiforme
S946,esophagitis, peptic
S947,essential tremor
S948,female urogenital diseases
S949,fetal resorption
S950,fibroadenoma
S951,fibromatosis, abdominal
S952,gait ataxia
S953,gait disorders, neurologic
S954,glaucoma, angle-closure
S955,glomerulonephritis, membranous
S956,gout
S957,granulosa cell tumor of the ovary
S958,hair diseases
S959,hemorrhagic disorders
S960,hepatitis, chronic
S961,hernia
S962,hyperemia
S963,hypergammaglobulinemia
S964,hyperlipidemia, familial combined
S965,hyperlipoproteinemias
S966,hyperlipoproteinemia type ii
S967,hyperlipoproteinemia type iv
S968,hyperoxaluria
S969,hypersensitivity
S970,hypertelorism
S971,hyperuricemia
S972,hyponatremia
S973,hypoplastic left heart syndrome
S974,immunoproliferative disorders
S975,inappropriate adh syndrome
S976,influenza, human
S977,intellectual disability
S978,intracranial embolism
S979,intracranial hypertension
S980,keloid
S981,ketosis
S982,leukopenia
S983,lipid metabolism disorders
S984,lipidoses
S985,lipomyelomeningocele
S986,lupus erythematosus, cutaneous
S987,lymphangiectasis, intestinal
S988,lymphoma, t-cell, cutaneous
S989,macular edema
S990,malformations of cortical development
S991,massive hepatic necrosis
S992,melanoma, amelanotic
S993,melas syndrome
S994,meningocele
S995,meningomyelocele
S996,micrognathism
S997,migraine with aura
S998,migraine without aura
S999,mitochondrial diseases
S1000,mitochondrial myopathies
S1001,mixed tumor, mullerian
S1002,multiple myeloma
S1003,muscle hypotonia
S1004,musculoskeletal diseases
S1005,myelodysplastic syndromes
S1006,myoclonic epilepsy, juvenile
S1007,myoglobinuria
S1008,myositis
S1009,neoplasm recurrence, local
S1010,nephrosis, lipoid
S1011,nephrotic syndrome
S1012,nerve sheath neoplasms
S1013,neurogenic bowel
S1014,neurogenic inflammation
S1015,neuromuscular manifestations
S1016,niemann-pick disease, type c
S1017,nocturnal enuresis
S1018,nystagmus, congenital
S1019,nystagmus, pathologic
S1020,optic neuritis
S1021,pain, postoperative
S1022,pancreatic pseudocyst
S1023,pancytopenia
S1024,panniculitis, peritoneal
S1025,papillomavirus infections
S1026,parkinson disease, secondary
S1027,parkinsonian disorders
S1028,pericarditis
S1029,pheochromocytoma
S1030,pleural effusion
S1031,pleural neoplasms
S1032,poems syndrome
S1033,polymyositis
S1034,porphyria, acute intermittent
S1035,postoperative hemorrhage
S1036,protein deficiency
S1037,pseudolymphoma
S1038,pseudotumor cerebri
S1039,red-cell aplasia, pure
S1040,renal hypouricemia
S1041,retinitis pigmentosa
S1042,reye syndrome
S1043,rhabdomyosarcoma
S1044,schistosomiasis japonica
S1045,schistosomiasis mansoni
S1046,scleroderma, localized
S1047,seizures, febrile
S1048,signs and symptoms, digestive
S1049,skin abnormalities
S1050,spasms, infantile
S1051,spina bifida cystica
S1052,spina bifida occulta
S1053,spinal cord injuries
S1054,stevens-johnson syndrome
S1055,stress disorders, post-traumatic
S1056,stupor
S1057,stuttering
S1058,syndrome
S1059,systemic carnitine deficiency
S1060,tension-type headache
S1061,tinnitus
S1062,tongue diseases
S1063,translocation, genetic
S1064,transposition of great vessels
S1065,twins, conjoined
S1066,unverricht-lundborg syndrome
S1067,urinary bladder diseases
S1068,urinary bladder, neurogenic
S1069,uterine prolapse
S1070,valproic acid antenatal infection
S1071,vasculitis, leukocytoclastic, cutaneous
S1072,abducens nerve diseases
S1073,alcohol withdrawal seizures
S1074,anemia, hypochromic
S1075,arthritis, gouty
S1076,arthritis, rheumatoid
S1077,azotemia
S1078,behcet syndrome
S1079,calcinosis
S1080,cardiomyopathy, alcoholic
S1081,central nervous system infections
S1082,cholangitis
S1083,dermatitis, exfoliative
S1084,duodenal ulcer
S1085,end stage liver disease
S1086,extravasation of diagnostic and therapeutic materials
S1087,facial paralysis
S1088,fibromyalgia
S1089,gingival hyperplasia
S1090,gingival hypertrophy
S1091,gingival overgrowth
S1092,gingivitis
S1093,graft vs host disease
S1094,guillain-barre syndrome
S1095,hemoglobinuria, paroxysmal
S1096,hemostatic disorders
S1097,hepatic veno-occlusive disease
S1098,hepatitis b, chronic
S1099,hepatitis c
S1100,hyperbilirubinemia
S1101,hypertension, renal
S1102,hypertrichosis
S1103,hypervitaminosis a
S1104,immune suppression
S1105,jaundice, neonatal
S1106,keratoconjunctivitis sicca
S1107,kidney calculi
S1108,metabolic diseases
S1109,metal metabolism, inborn errors
S1110,monosomy
S1111,multicystic dysplastic kidney
S1112,myoclonic epilepsies, progressive
S1113,nails, malformed
S1114,nephrocalcinosis
S1115,nephrosis, congenital
S1116,neuralgia
S1117,oral ulcer
S1118,organophosphate poisoning
S1119,osteosarcoma
S1120,pain, intractable
S1121,pancreatitis, chronic
S1122,pemphigus
S1123,polyploidy
S1124,posterior leukoencephalopathy syndrome
S1125,precursor t-cell lymphoblastic leukemia-lymphoma
S1126,premenstrual syndrome
S1127,protozoan infections, animal
S1128,purpura, thrombocytopenic, idiopathic
S1129,recurrence
S1130,retinal vein occlusion
S1131,scleroderma, diffuse
S1132,serotonin syndrome
S1133,spermatic cord torsion
S1134,stomatitis, aphthous
S1135,sturge-weber syndrome
S1136,thrombotic microangiopathies
S1137,thyroid cancer, follicular
S1138,tourette syndrome
S1139,trisomy
S1140,urolithiasis
S1141,uveitis
S1142,uveitis, posterior
S1143,vacuolar myopathy
S1144,vascular system injuries
S1145,vitamin b 12 deficiency
S1146,xerophthalmia
S1147,abnormalities, severe teratoid
S1148,airway obstruction
S1149,alcohol-induced disorders
S1150,bile duct diseases
S1151,biliary tract diseases
S1152,cardiac output, high
S1153,crohn disease
S1154,drug-induced liver injury, chronic
S1155,headache disorders
S1156,hyperesthesia
S1157,hyperventilation
S1158,hypoalbuminemia
S1159,hypovolemia
S1160,kidney papillary necrosis
S1161,male urogenital diseases
S1162,methemoglobinemia
S1163,oliguria
S1164,osteoarthritis
S1165,postoperative nausea and vomiting
S1166,purpura fulminans
S1167,respiratory hypersensitivity
S1168,respiratory tract infections
S1169,spondylosis
